Iteration	Posterior	Likelihood	Prior	alpha_morpho	branch_rate_var[1]	branch_rate_var[2]	branch_rate_var[3]	branch_rate_var[4]	branch_rate_var[5]	branch_rate_var[6]	branch_rate_var[7]	branch_rate_var[8]	branch_rate_var[9]	branch_rate_var[10]	branch_rate_var[11]	branch_rate_var[12]	branch_rate_var[13]	branch_rate_var[14]	branch_rate_var[15]	branch_rate_var[16]	branch_rate_var[17]	branch_rate_var[18]	branch_rate_var[19]	branch_rate_var[20]	branch_rate_var[21]	branch_rate_var[22]	branch_rate_var[23]	branch_rate_var[24]	branch_rate_var[25]	branch_rate_var[26]	branch_rate_var[27]	branch_rate_var[28]	branch_rate_var[29]	branch_rate_var[30]	branch_rate_var[31]	branch_rate_var[32]	branch_rate_var[33]	branch_rate_var[34]	branch_rate_var[35]	branch_rate_var[36]	branch_rate_var[37]	branch_rate_var[38]	branch_rate_var[39]	branch_rate_var[40]	branch_rate_var[41]	branch_rate_var[42]	branch_rate_var[43]	branch_rate_var[44]	branch_rate_var[45]	branch_rate_var[46]	branch_rate_var[47]	branch_rate_var[48]	branch_rate_var[49]	branch_rate_var[50]	branch_rate_var[51]	branch_rate_var[52]	branch_rate_var[53]	branch_rate_var[54]	branch_rate_var[55]	branch_rate_var[56]	branch_rate_var[57]	branch_rate_var[58]	branch_rate_var[59]	branch_rate_var[60]	branch_rate_var[61]	branch_rate_var[62]	branch_rate_var[63]	branch_rate_var[64]	branch_rate_var[65]	branch_rate_var[66]	branch_rate_var[67]	branch_rate_var[68]	branch_rate_var[69]	branch_rate_var[70]	branch_rate_var[71]	branch_rate_var[72]	branch_rate_var[73]	branch_rate_var[74]	branch_rate_var[75]	branch_rate_var[76]	branch_rate_var[77]	branch_rate_var[78]	branch_rate_var[79]	branch_rate_var[80]	branch_rate_var[81]	branch_rate_var[82]	branch_rate_var[83]	branch_rate_var[84]	branch_rate_var[85]	branch_rate_var[86]	character_indicator	diversification[1]	diversification[2]	extinction_rate[1]	extinction_rate[2]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	F[15]	F[16]	F[17]	F[18]	F[19]	F[20]	F[21]	F[22]	F[23]	F[24]	F[25]	F[26]	F[27]	F[28]	F[29]	F[30]	F[31]	F[32]	F[33]	F[34]	F[35]	F[36]	F[37]	F[38]	F[39]	F[40]	F[41]	F[42]	F[43]	F[44]	n_samp_anc	origin_time	psi[1]	psi[2]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	rates_morpho_all_part[1]	rates_morpho_all_part[2]	rates_morpho_all_part[3]	rates_morpho_all_part[4]	rates_morpho_core[1]	rates_morpho_core[2]	rates_morpho_core[3]	rates_morpho_core[4]	rates_morpho_cranium[1]	rates_morpho_cranium[2]	rates_morpho_cranium[3]	rates_morpho_cranium[4]	rates_morpho_limb[1]	rates_morpho_limb[2]	rates_morpho_limb[3]	rates_morpho_limb[4]	rates_morpho_tooth[1]	rates_morpho_tooth[2]	rates_morpho_tooth[3]	rates_morpho_tooth[4]	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	speciation_rate[1]	speciation_rate[2]	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	t[25]	t[26]	t[27]	t[28]	t[29]	t[30]	t[31]	t[32]	t[33]	t[34]	t[35]	t[36]	t[37]	t[38]	t[39]	t[40]	t[41]	t[42]	t[43]	t[44]	turnover[1]	turnover[2]	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-10950.28	-5849.878	-5100.404	630846.9	0.303319	0.235869	1.42168	0.362476	0.680398	0.25426	0.341917	0.30347	1.93112	0.21908	1.90066	1.05299	0.62146	1.04511	0.611344	0.331174	1.63815	1.11135	0.321996	0.106358	0.18048	0.346719	0.100827	0.318528	0.894182	1.29799	1.02625	0.327537	4.02516	1.54039	1.34444	0.0467185	0.777393	2.3631	0.29218	0.193165	0.57401	0.459236	0.825032	0.681187	0.540599	0.243349	1.14292	1.07044	1.91096	0.942963	0.666273	0.23088	0.555793	2.5925	0.960113	0.207467	0.160773	0.606411	0.473997	0.29667	0.290628	2.45122	1.06893	0.512834	0.561843	0.263636	0.350243	0.333503	0.427314	0.0818771	0.425968	0.645348	0.48208	1.31085	0.495688	0.782483	1.3086	0.320253	0.594974	0.281972	0.384668	0.769182	0.451842	0.102304	0.115955	0.403458	0.661454	0.398949	0.700484	0.339876	2	1.31838	0.262041	1.09723	0.436556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138.4162	0.205428	0.924229	0.9984	0.999591	1.00041	1.0016	0.9984	0.999591	1.00041	1.0016	0.9984	0.999591	1.00041	1.0016	0.9984	0.999591	1.00041	1.0016	0.9984	0.999591	1.00041	1.0016	0.9984	0.999591	1.00041	1.0016	0.9984	0.999591	1.00041	1.0016	2.41561	0.698597	70.6	70.6	89.8	83.5	83.6	66	66	93.5	83.5	66	70.6	66	72.1	66	86.3	89.3	83.6	72.1	66	61.7	85.8	66	70.6	93.5	66	66	89.3	83.5	93.5	89.3	66	66	66	66	83.6	89.3	70.6	70.6	66	66	70.6	93.5	83.5	70.6	0.454223	0.624904	0.725543	-0.6709908	0.8368462	0.7003116
100	-3393.504	-3236.281	-157.2231	866863.5	0.0428111	0.00440794	0.0917723	0.0271461	0.35057	0.00853588	0.027218	0.0424207	0.00605711	0.000291124	0.0403385	0.00182645	0.000969712	0.0108845	0.00984265	0.0505154	0.00013203	0.0475421	0.0120647	0.404046	0.00206811	0.00525497	0.00761855	0.00649445	0.00762283	0.0159167	0.0219694	0.0043949	0.0147519	0.00225981	0.00133468	0.000247192	0.0477831	0.000514932	0.041572	0.00105433	0.0188837	0.0428473	0.00216824	0.00895732	0.000739682	0.000492241	0.0515719	0.0815384	0.0031273	0.00812546	0.0106087	0.0013463	0.0384037	0.00939637	0.00366607	0.0319099	0.016883	0.0076319	0.0586629	0.00278371	0.0583977	0.0053621	0.22741	0.00217065	0.00172311	0.00731769	0.00833912	0.0725579	0.00903098	0.00753814	0.005439	0.000612036	0.0110624	0.00155712	0.0675541	0.184213	0.0215859	7.64381e-05	0.00618002	0.0636066	0.0149085	0.0813036	0.0326944	0.18043	0.00491791	0.00740011	0.197597	0.246017	0.0882506	0.00317081	4	0.0583628	0.0110241	0.123406	0.00868278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	135.3647	0.0559339	0.0298699	0.998635	0.999651	1.00035	1.00137	0.998635	0.999651	1.00035	1.00137	0.998635	0.999651	1.00035	1.00137	0.998635	0.999651	1.00035	1.00137	0.998635	0.999651	1.00035	1.00137	0.998635	0.999651	1.00035	1.00137	0.998635	0.999651	1.00035	1.00137	0.181769	0.0197069	71.6893	72.2867	89.8	83.7879	83.6	66	66	93.5	83.5	66	81.3448	66	79.4833	69.6077	86.3588	91.1728	83.6	77.2091	66	68.1769	88.9984	66	77.8554	98.6044	69.246	66	93.4922	83.5	96.0226	89.3	66	68.9688	68.9328	66	84.4743	91.0731	71.5352	85.7284	66	66	70.6	93.5	85.6172	79.657	0.678917	0.440596	0.04435392	-4.558963	1.699064	2.886819
200	-3389.291	-3214.648	-174.6431	478758.5	0.118813	0.150064	0.0684342	0.091013	0.154279	0.00566594	0.0204244	0.115469	0.000490919	0.000449043	0.13243	0.00155098	0.183287	0.00374529	0.00163037	0.211244	3.17042e-05	0.00630383	0.0234072	0.257552	0.00138547	0.000214716	0.0428254	0.00568817	0.0323617	0.0817115	0.00335436	0.00627216	0.000120452	0.0212013	0.00150742	1.28144e-05	0.00321763	0.00326361	22.341	0.000238592	0.017222	0.0132358	0.0392947	0.00436924	0.0039049	0.00866317	0.0192927	0.0049406	0.00424595	0.0167029	0.00558222	0.00274476	0.021748	0.000858038	0.0395284	0.264831	0.145954	0.00306227	0.0587871	0.0175793	6.0023e-05	0.131334	0.148943	0.00225349	0.00787643	0.0781158	0.000522572	0.407946	0.00782002	0.00952867	0.0248789	0.00119967	0.0139521	7.42191e-05	0.0524001	0.0621456	0.0315434	0.00016163	0.00746541	0.0290411	0.0914012	0.0788396	0.0663922	0.0547458	0.00103672	0.0283857	0.00155151	0.0144948	0.0391305	0.00159217	6	0.0514302	-0.00121289	0.17659	0.141642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	139.2435	0.0448525	0.028599	0.998164	0.99953	1.00047	1.00184	0.998164	0.99953	1.00047	1.00184	0.998164	0.99953	1.00047	1.00184	0.998164	0.99953	1.00047	1.00184	0.998164	0.99953	1.00047	1.00184	0.998164	0.99953	1.00047	1.00184	0.998164	0.99953	1.00047	1.00184	0.228021	0.140429	71.6893	72.8677	89.8	83.7879	83.6	66	66	93.5	83.5	66	81.3448	69.045	82.6764	69.6077	86.3588	90.5662	83.6	83.0077	68.4239	68.1769	88.9984	66	71.5601	95.6652	66.7931	66	92.6807	84.4166	95.0512	92.1865	71.9762	66.78	68.8945	66	85.2005	90.0667	71.5352	84.1927	70.8382	66.3187	70.6	95.0702	84.4941	82.2619	0.774449	1.00864	0.1658353	-4.365089	2.26642	5.136658
300	-3352.949	-3199.151	-153.7986	923960.3	0.0347777	0.0735731	0.280046	0.0081872	0.206184	0.003333	0.0106299	0.0480095	0.00152602	0.000720264	0.0796334	0.00236514	0.00894305	0.01043	0.00438808	0.00136893	0.000139569	0.0366144	0.0139615	0.144073	0.000643017	0.0171226	0.911812	0.00792538	0.0144746	0.0312638	0.00477909	0.00191767	0.00245047	0.0468404	7.81306e-05	0.000888615	0.0108332	0.00116972	0.0134491	0.0138699	0.00113857	4.57939e-05	0.00493884	0.00858805	1.79193e-05	0.00790912	0.0106399	0.000493614	0.00281303	0.0414423	0.00091472	0.0047698	0.00577983	0.0102113	0.228735	2.23536	0.52815	0.224346	0.137252	0.00966188	0.00226793	0.0811541	0.0283117	0.000681574	0.0425593	0.0251043	0.00112245	0.0869961	0.0148638	0.0403513	0.00156898	0.000454629	0.0803204	0.00113327	0.0187721	0.0753683	0.0634312	0.00946706	0.00490142	0.0445086	0.746366	0.432095	0.00789563	0.00516897	0.017078	0.00621816	0.0165276	0.00166934	0.00166652	0.00390372	4	0.0518748	-0.00867572	0.0914639	0.0342381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	140.7038	0.0671611	0.0190683	0.998678	0.999662	1.00034	1.00132	0.998678	0.999662	1.00034	1.00132	0.998678	0.999662	1.00034	1.00132	0.998678	0.999662	1.00034	1.00132	0.998678	0.999662	1.00034	1.00132	0.998678	0.999662	1.00034	1.00132	0.998678	0.999662	1.00034	1.00132	0.143339	0.0255624	71.6893	83.3807	91.5057	83.7879	83.6	66	66	93.5	83.5	66	81.3448	69.045	82.3626	66.3124	87.8255	93.3949	83.6	73.3826	68.4239	68.1769	89.2659	71.2687	70.7944	99.2061	69.8915	66.1755	92.7287	85.0483	95.6448	92.2495	79.9223	66.78	69.9029	68.5164	84.7806	93.2063	71.5352	85.7652	70.6272	66.3187	70.6	95.0702	84.4941	72.8364	0.638096	1.33939	0.09611795	-4.705601	2.174131	4.726844
400	-3357.643	-3197.241	-160.4017	672917.5	0.124157	0.00492071	0.0888471	0.0574429	0.174621	0.00967604	0.0370671	0.0440146	0.00103258	0.00522249	0.16848	0.00186613	0.0264183	0.00107279	0.000429588	0.000504858	0.00585453	0.467784	0.0198873	0.621292	0.0106858	0.0560251	0.0017092	0.051254	0.00149673	0.0615634	0.00117	0.0925349	0.00131373	0.0365379	0.0872444	0.000214531	6.27245e-05	0.000376742	0.0162019	0.00108699	0.00315575	0.00588425	0.00547172	0.00900985	5.5466e-05	0.0102968	0.0112633	0.00112687	0.00514491	0.0380979	0.062472	0.00447414	0.0149969	0.00460731	0.810935	0.235249	0.197148	0.0825727	0.0925152	0.0268354	0.00104456	0.216251	0.011992	0.000809981	0.00726732	0.026214	0.000632706	0.222505	0.00791385	0.410623	0.0106178	0.000507061	0.0208016	0.00093917	0.0287536	0.327417	0.0216925	0.010358	0.00985282	1.00038	0.681876	0.536579	0.0322823	0.00639406	0.000561745	0.000891495	0.0104927	0.00171019	0.00131211	0.00184338	5	0.0733604	-0.0437184	0.0964631	0.0709388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	145.5844	0.117287	0.00552778	0.998451	0.999604	1.0004	1.00155	0.998451	0.999604	1.0004	1.00155	0.998451	0.999604	1.0004	1.00155	0.998451	0.999604	1.0004	1.00155	0.998451	0.999604	1.0004	1.00155	0.998451	0.999604	1.0004	1.00155	0.998451	0.999604	1.0004	1.00155	0.169824	0.0272204	82.0226	75.4084	92.328	83.7879	83.6	66	66.6521	93.5	83.5	70.4522	81.3448	69.1984	83.0085	66.3124	87.6963	92.8616	84.8268	81.2365	68.812	68.1769	89.2793	71.9859	71.139	99.5844	68.1642	66.1755	92.9285	85.0898	94.3505	94.5742	83.1254	66.5853	69.3275	68.5164	84.8178	92.2618	71.5352	84.8581	71.1101	66.3187	70.6	95.0702	84.4941	79.7363	0.56802	2.60609	0.3314316	-3.964911	2.391893	5.721154
500	-3373.428	-3191.491	-181.937	494291.5	0.07726	0.00867713	0.0438514	0.0324286	0.0837705	0.0154708	0.014956	0.0441279	0.00432316	0.00515955	0.147409	0.00276751	0.00136706	0.00474376	0.000754191	0.0274131	0.0121078	0.0138335	0.0242449	1.7276	0.00100758	0.0325661	0.0160334	0.0276899	0.000127695	0.0417435	0.00351132	0.00612313	0.0266919	0.339343	0.0942505	8.36622e-05	0.0463745	0.000758871	0.494969	0.000152178	0.00324879	0.00134749	0.0818706	0.0067939	0.00377224	0.0121086	0.03646	0.0183539	0.0154636	0.0400452	0.000148543	0.00756063	0.0152772	0.0844463	3.64562	0.382421	0.0556804	0.108095	0.00129267	0.00488249	0.00411004	0.428787	0.0318738	0.0181403	0.0110357	0.00340881	0.00867406	0.0874861	0.0160751	0.081418	2.1455	0.000147673	0.00489676	0.00144817	0.00451591	0.443622	0.017904	0.0228634	0.251771	2.48503	0.126591	0.11798	0.0940268	0.00995792	0.00225923	0.00124928	0.0447266	0.0280531	0.000851531	0.000141447	1	0.00728568	0.00818344	0.177823	0.0124451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	140.9643	0.100178	0.00698747	0.998193	0.999538	1.00046	1.00181	0.998193	0.999538	1.00046	1.00181	0.998193	0.999538	1.00046	1.00181	0.998193	0.999538	1.00046	1.00181	0.998193	0.999538	1.00046	1.00181	0.998193	0.999538	1.00046	1.00181	0.998193	0.999538	1.00046	1.00181	0.185109	0.0206285	76.7137	81.6562	92.328	83.7879	83.6	66	66.6521	93.5	83.5	70.4522	81.3448	70.2017	82.9003	66.3124	88.469	93.3024	85.18	82.8966	67.6266	66.1842	88.8932	72.0035	71.0856	99.0212	68.5851	66.1755	91.9257	84.0614	94.3087	97.8891	82.9156	67.5116	68.5388	68.5164	84.8812	92.218	71.5352	85.7754	71.0814	66.3187	75.0059	96.1285	88.1176	73.5079	0.960641	0.603295	0.177935	-4.450915	2.334343	5.449156
600	-3350.222	-3164.317	-185.9047	574752.3	0.0260687	0.00573376	0.0295068	0.0957202	0.0645265	0.00614975	0.0293296	0.0854075	0.0013461	2.6275e-05	0.136651	0.00178795	0.0334106	0.00928043	0.0413323	0.0102968	0.169419	0.0365999	0.0226798	1.80866	0.000944113	0.0140604	0.0414605	0.0106719	0.0244849	0.0462135	0.00659349	0.00126595	0.000447963	0.00107143	0.132874	0.000614376	0.00985435	0.000680653	0.0869255	0.000331768	0.01952	0.00021373	0.00218588	0.00751068	0.00381573	0.0165015	0.00861471	0.00121127	0.00627893	0.0235852	0.0858562	0.0286628	0.043437	0.308661	43.9742	1.23575	1.08977	0.0313565	0.0282821	0.00248739	0.0445875	0.0120223	0.00219072	0.000744704	0.0120842	0.100372	0.00825731	0.0290867	0.375736	0.00151083	1.79896	0.0402235	0.00440207	0.000466154	0.0011182	0.266746	0.0501012	0.100204	0.022558	1.88447	0.163012	0.181381	0.22086	0.00391674	0.25944	0.011401	0.0221227	2.6424e-05	0.00663342	0.00109976	2	0.0413596	-0.00181877	0.165366	0.00680659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	141.3056	0.0929478	0.000551878	0.998324	0.999571	1.00043	1.00168	0.998324	0.999571	1.00043	1.00168	0.998324	0.999571	1.00043	1.00168	0.998324	0.999571	1.00043	1.00168	0.998324	0.999571	1.00043	1.00168	0.998324	0.999571	1.00043	1.00168	0.998324	0.999571	1.00043	1.00168	0.206726	0.00498782	76.7137	81.4023	92.328	83.7879	83.62	66	66.6521	96.3202	85.8311	70.4013	81.3448	66.52	83.362	69.7678	87.1865	93.2233	85.1707	83.3575	66.9223	69.1875	86.8819	72.0696	70.9225	99.247	68.3236	66.1755	91.9257	85.7422	94.5312	94.706	83.4024	67.5028	68.4885	68.5164	84.8812	92.8419	76.8196	85.7514	70.9219	66.4308	85.2473	96.1285	88.1176	75.6794	0.79993	1.36464	0.272098	-4.210109	2.411853	5.817033
700	-3350.504	-3155.823	-194.6809	247438.7	0.0270789	0.00179923	0.0670661	0.078944	0.0333338	0.00717561	0.0138727	0.0991813	0.0011614	0.000702973	0.133987	0.00194978	0.0317117	0.0300728	0.00195985	0.00313681	0.0488536	0.0422317	0.0208191	0.560374	0.000614739	0.00463634	0.0125821	0.0415292	0.145115	0.014443	0.00086008	0.0258378	0.00247015	0.0509746	0.0210148	0.000167943	0.0114224	0.00109432	0.0944659	0.00956822	0.0975545	0.0251256	0.0161455	0.010762	0.0384298	0.00303317	0.057839	0.0053032	0.0111428	0.00464562	0.0153135	0.00409488	2.06121	0.0343117	177.082	0.878855	0.119316	0.444005	0.00797996	0.010861	0.0375005	0.186477	0.00272491	0.00263612	0.0044301	2.24033	0.0113555	0.00606488	0.100422	0.0146399	26.6824	0.0173391	0.00326884	0.00197721	0.00119076	0.127515	0.0599089	0.0420318	0.0015134	0.350782	0.431846	0.22999	0.0493778	0.00160716	0.00217061	0.000608282	0.00193896	0.000233527	0.00737447	0.000179362	4	0.0129693	0.00708486	0.167983	0.0438727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	138.6223	0.151808	0.0249181	0.997446	0.999346	1.00065	1.00256	0.997446	0.999346	1.00065	1.00256	0.997446	0.999346	1.00065	1.00256	0.997446	0.999346	1.00065	1.00256	0.997446	0.999346	1.00065	1.00256	0.997446	0.999346	1.00065	1.00256	0.997446	0.999346	1.00065	1.00256	0.180952	0.0509576	76.7137	77.7016	92.328	83.7879	83.62	66	66.6521	95.9055	85.8311	70.6194	81.6535	66.52	83.2498	69.1943	88.6981	93.4151	85.31	83.2497	66.9223	69.259	88.1732	70.0854	71.7246	99.264	70.273	66.1755	91.8606	85.7776	95.7761	94.706	83.25	69.7371	70.2775	68.5164	84.8812	92.8767	76.8196	85.5737	71.7244	66.4308	85.4955	96.1285	87.7025	75.7319	0.928328	0.860966	0.4046859	-4.004917	2.490089	6.200545
800	-3371.772	-3148.888	-222.8846	794830.4	0.0351631	0.0297455	0.0217988	0.535499	0.0324802	0.0242734	0.158459	0.0853509	0.0111765	0.0151556	0.143474	0.00225895	0.356554	0.033316	0.008157	0.00178571	0.106434	1.11789	0.0177156	0.676651	0.000700969	0.00392899	0.00363111	0.00491659	1.61872	0.0274095	0.000652697	0.0103842	0.0130523	0.253857	0.0534389	0.000177646	0.00222624	0.00100753	0.0961392	0.00873765	0.0190403	0.00223381	0.00154629	0.00161995	0.000447721	0.00685028	0.0702887	1.24322	0.0128644	0.000851082	0.00298188	0.0089648	0.126724	0.279285	328.879	0.111439	0.0484352	0.17304	0.000352999	0.0532036	0.0336254	0.155083	0.000396546	0.000314134	0.0631703	0.327274	0.000374995	0.0736832	0.673172	0.0152277	70.3919	0.00813308	0.00482185	3.03292e-05	0.00413407	0.32602	0.0146197	0.0335632	0.011454	7.53646	0.0401163	0.207916	0.0322217	0.00101164	0.00104937	0.0187207	0.0331544	0.000130138	0.00380702	0.00046688	2	0.0775068	0.000302142	0.234646	0.0610382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	139.6875	0.103561	0.0272737	0.998575	0.999635	1.00036	1.00143	0.998575	0.999635	1.00036	1.00143	0.998575	0.999635	1.00036	1.00143	0.998575	0.999635	1.00036	1.00143	0.998575	0.999635	1.00036	1.00143	0.998575	0.999635	1.00036	1.00143	0.998575	0.999635	1.00036	1.00143	0.312153	0.0613403	76.7137	80.1171	92.328	83.7879	83.62	66	66.6521	95.9055	85.8311	70.7047	81.6535	68.3024	83.4287	70.1246	88.1133	90.3036	86.2296	83.4287	66.9223	67.5607	86.8328	71.0659	71.7833	99.1083	68.4498	66.1755	92.0871	85.6576	96.6229	98.7804	83.4622	69.7371	70.3386	68.8317	84.8812	90.1672	76.8196	84.9939	71.7833	66.4308	85.439	96.1285	87.7876	75.7425	0.751702	0.995074	1.745706	-3.613008	2.887964	8.340334
900	-3357.674	-3168.52	-189.1539	901472.8	0.0164977	0.00357347	0.0166126	0.00710026	0.0268102	0.00863936	0.0307673	0.0355577	0.00308928	0.0608892	0.15914	0.00233529	0.000253228	0.0155054	0.0782998	6.47572e-05	0.00126537	27.9129	0.0473303	0.558235	4.17073e-05	0.00383842	0.00399332	3.22323e-05	0.119887	0.0228373	0.00548088	0.0121153	0.00397336	0.0276802	0.0008998	0.000179107	0.00276921	0.000240647	0.157078	0.0523927	0.00228251	0.00451304	0.021949	0.0241248	0.00449874	0.00927443	0.0365342	0.196723	0.00379362	0.00318264	0.00319495	0.0122853	0.0477182	0.617882	859.793	0.143518	0.0712111	0.334098	0.00919812	0.000409585	0.0196939	0.247439	0.0051017	0.00624597	0.00139604	0.0980046	0.0043575	0.03958	0.0387518	0.0181489	12.7767	8.19195e-06	0.0126574	0.00234598	0.00173204	0.699113	0.0167291	0.166865	0.205185	2.09806	0.0222327	0.122118	0.0246127	0.00814105	0.00103899	0.00181157	0.0060958	0.000198944	0.0098808	0.00190069	4	0.0562645	-0.0177645	0.124562	0.0497416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	139.5044	0.0830864	0.00579559	0.998662	0.999658	1.00034	1.00134	0.998662	0.999658	1.00034	1.00134	0.998662	0.999658	1.00034	1.00134	0.998662	0.999658	1.00034	1.00134	0.998662	0.999658	1.00034	1.00134	0.998662	0.999658	1.00034	1.00134	0.998662	0.999658	1.00034	1.00134	0.180827	0.0319772	76.7137	79.3798	92.3161	83.7879	83.62	66	66.6521	95.9055	85.8311	71.1944	81.6535	68.3024	83.4531	69.7616	88.3912	92.2207	85.4461	83.4531	68.255	67.5607	86.8328	69.8643	71.3736	99.4218	68.8732	66.0709	89.7927	85.5509	97.8445	98.7804	83.4401	69.7371	68.8806	66.9336	84.8812	90.3725	71.5976	82.4748	71.3736	66.4308	83.3131	96.3754	88.9557	75.7658	0.688848	1.55554	0.388985	-4.544415	2.683356	7.2004
