Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-2810.377	-2654.917	-155.4595	249430.2	2.439935	0.997456	0.999349	1.00065	1.00255	30.87912
100	-1599.488	-1562.816	-36.67185	644141.3	11.01216	0.998417	0.999595	1.0004	1.00158	7.531531
200	-1594.953	-1565.178	-29.77501	133320.1	13.86601	0.996521	0.999109	1.00089	1.00348	6.855488
300	-1549.334	-1530.855	-18.4795	691744.6	15.06752	0.998472	0.999609	1.00039	1.00153	6.012006
400	-1592.08	-1563.852	-28.22818	67559.57	11.3456	0.995114	0.998747	1.00124	1.00489	6.783565
500	-1596.435	-1555.462	-40.97307	502845.2	12.52223	0.998208	0.999542	1.00046	1.00179	7.814949
600	-1579.804	-1554.118	-25.68572	411608.2	13.9146	0.998019	0.999493	1.00051	1.00198	6.558334
700	-1581.911	-1553.491	-28.42031	364049.7	13.46024	0.997894	0.999461	1.00054	1.00211	6.779982
800	-1580.576	-1552.194	-28.38168	114784.8	10.12848	0.996251	0.999039	1.00096	1.00375	6.685588
900	-1573.201	-1548.081	-25.11952	905972	13.08894	0.998665	0.999659	1.00034	1.00134	6.54415
1000	-1585.524	-1558.281	-27.24321	399351.9	13.97658	0.997989	0.999486	1.00051	1.00201	6.666828
1100	-1589.891	-1562.033	-27.85761	852124.5	12.38805	0.998623	0.999648	1.00035	1.00138	6.769124
1200	-1597.37	-1561.661	-35.70961	555795.3	12.34309	0.998296	0.999564	1.00043	1.00171	7.405616
1300	-1570.988	-1546.659	-24.32909	119675.7	11.43475	0.996328	0.999059	1.00094	1.00368	6.446314
1400	-1570.01	-1548.649	-21.36115	833808.2	12.1616	0.998608	0.999644	1.00036	1.00139	6.235769
1500	-1574.807	-1549.218	-25.5891	967641.3	11.07007	0.998708	0.99967	1.00033	1.00129	6.530214
1600	-1601.945	-1569.597	-32.3474	246380.2	13.96143	0.99744	0.999345	1.00065	1.00256	7.033269
1700	-1604.855	-1572.133	-32.72136	258138.9	11.11742	0.997499	0.99936	1.00064	1.0025	7.175721
1800	-1584.789	-1551.939	-32.84939	276694.4	10.69558	0.997585	0.999382	1.00062	1.00242	7.171175
1900	-1590.094	-1555.607	-34.48741	787986.8	10.74748	0.998568	0.999634	1.00037	1.00143	7.326274
2000	-1581.382	-1549.774	-31.60829	999706.2	13.40145	0.998729	0.999675	1.00032	1.00127	7.020721
