Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-2800.563	-2713.809	-86.75426	935519.2	5.694357	0.998686	0.999664	1.00034	1.00131	13.70213
100	-1600.824	-1562.902	-37.92233	280274.5	9.765406	0.9976	0.999386	1.00061	1.0024	7.600829
200	-1581.628	-1549.738	-31.88953	903496.2	12.8367	0.998663	0.999658	1.00034	1.00134	7.075214
300	-1561.842	-1526.866	-34.97604	779459.9	11.56213	0.998561	0.999632	1.00037	1.00144	7.37538
400	-1562.033	-1531.814	-30.2194	583597.5	11.36151	0.998337	0.999575	1.00042	1.00166	6.95953
500	-1567.649	-1530.853	-36.79613	558016.2	10.02866	0.998299	0.999565	1.00043	1.0017	7.509218
600	-1576.342	-1547.672	-28.66992	946193.9	11.28975	0.998694	0.999666	1.00033	1.00131	6.820086
700	-1554.657	-1530.945	-23.7113	319641.2	13.00295	0.997753	0.999425	1.00057	1.00225	6.437362
800	-1561.059	-1530.644	-30.41452	783980.2	10.68499	0.998565	0.999633	1.00037	1.00144	6.942722
900	-1579.329	-1549.338	-29.99094	458155.2	11.50119	0.998123	0.99952	1.00048	1.00188	6.943021
1000	-1555.754	-1534.571	-21.18317	408514	12.81512	0.998012	0.999491	1.00051	1.00199	6.240858
1100	-1576.749	-1543.751	-32.99797	599287.5	11.84266	0.998359	0.99958	1.00042	1.00164	7.200971
1200	-1553.083	-1520.743	-32.3398	783122.4	10.20658	0.998564	0.999633	1.00037	1.00144	7.084671
1300	-1561.429	-1531.245	-30.18466	581773.4	10.84798	0.998334	0.999574	1.00043	1.00167	6.932836
1400	-1555.592	-1532.159	-23.43276	754463.2	10.78348	0.998537	0.999626	1.00037	1.00146	6.302359
1500	-1560.45	-1533.696	-26.75442	761476.5	11.36586	0.998544	0.999628	1.00037	1.00146	6.654794
1600	-1561.337	-1531.119	-30.21814	314730.3	12.52519	0.997735	0.99942	1.00058	1.00227	6.955995
1700	-1576.789	-1547.402	-29.3871	453068.5	12.74602	0.998112	0.999517	1.00048	1.00189	6.883366
1800	-1554.432	-1528.568	-25.86444	422412.5	11.641	0.998045	0.9995	1.0005	1.00196	6.590979
1900	-1556.249	-1527.877	-28.37263	345018.8	11.92854	0.997837	0.999446	1.00055	1.00216	6.811421
2000	-1568.465	-1539.537	-28.92793	843596.4	13.51332	0.998616	0.999646	1.00035	1.00138	6.814885
2100	-1560.877	-1534.552	-26.32437	346329	11.4069	0.997841	0.999447	1.00055	1.00216	6.619288
2200	-1573.816	-1537.815	-36.00087	888860.6	11.10439	0.998652	0.999655	1.00034	1.00135	7.470734
2300	-1567.537	-1542.031	-25.50644	997173.8	13.79492	0.998727	0.999675	1.00032	1.00127	6.550744
2400	-1557.06	-1530.925	-26.13494	820386.1	11.38385	0.998597	0.999641	1.00036	1.0014	6.601352
2500	-1569.578	-1539.118	-30.46007	988731.9	13.65522	0.998722	0.999673	1.00033	1.00128	6.919214
2600	-1587.204	-1551.555	-35.64893	952488.8	10.60736	0.998698	0.999667	1.00033	1.0013	7.430034
2700	-1580.576	-1551.72	-28.85534	639365.6	14.08175	0.998411	0.999594	1.00041	1.00159	6.775277
2800	-1580.953	-1548.45	-32.50321	305037.9	11.28632	0.997699	0.999411	1.00059	1.0023	7.159572
2900	-1559.421	-1545.838	-13.58245	807077.8	14.98081	0.998585	0.999638	1.00036	1.00142	5.688327
3000	-1562.298	-1527.741	-34.55694	505182.5	9.831436	0.998212	0.999543	1.00046	1.00179	7.264389
3100	-1556.171	-1534.685	-21.48555	738439.8	14.35361	0.998521	0.999622	1.00038	1.00148	6.242956
3200	-1578.732	-1539.721	-39.01077	777477.1	12.59483	0.998559	0.999631	1.00037	1.00144	7.651961
3300	-1560.273	-1531.78	-28.49335	716509.9	12.55244	0.998499	0.999616	1.00038	1.0015	6.81777
3400	-1586.274	-1543.529	-42.7445	567223.9	12.23911	0.998313	0.999568	1.00043	1.00169	7.986266
3500	-1591.892	-1552.954	-38.9388	766944.7	10.08589	0.998549	0.999629	1.00037	1.00145	7.725873
3600	-1553.347	-1524.911	-28.4353	519508.1	14.17202	0.998237	0.999549	1.00045	1.00176	6.739534
3700	-1553.69	-1532.643	-21.04712	197619.5	12.24417	0.997142	0.999268	1.00073	1.00286	6.213695
3800	-1558.188	-1530.803	-27.38473	15888.72	13.99191	0.989934	0.997406	1.00256	1.0101	6.676079
3900	-1569.978	-1536.505	-33.47301	702217.3	11.3888	0.998484	0.999612	1.00039	1.00152	7.245964
4000	-1570.36	-1534.199	-36.16105	275909.7	11.97542	0.997581	0.999381	1.00062	1.00242	7.462181
4100	-1569.081	-1535.589	-33.49204	681661.1	13.15386	0.998461	0.999606	1.00039	1.00154	7.179343
4200	-1564.877	-1539.546	-25.33154	405233.9	11.47749	0.998004	0.999489	1.00051	1.002	6.536534
4300	-1570.835	-1536.533	-34.30202	755120.2	12.82511	0.998538	0.999626	1.00037	1.00146	7.263909
4400	-1568.512	-1537.238	-31.27368	921482.1	12.69984	0.998676	0.999661	1.00034	1.00132	7.033381
4500	-1561.776	-1534.987	-26.78918	626686.2	12.90364	0.998395	0.999589	1.00041	1.00161	6.676469
4600	-1572.811	-1541.76	-31.05067	507506.2	11.81799	0.998216	0.999544	1.00046	1.00178	7.036647
4700	-1565.727	-1539.317	-26.41022	535724.1	9.940583	0.998264	0.999556	1.00044	1.00174	6.457297
4800	-1562.48	-1530.846	-31.63395	994615.7	10.57718	0.998726	0.999674	1.00033	1.00127	7.049319
4900	-1573.588	-1539.883	-33.70558	723868.8	10.75408	0.998506	0.999618	1.00038	1.00149	7.253806
5000	-1555.599	-1527.587	-28.01272	652667.3	13.06948	0.998427	0.999598	1.0004	1.00157	6.765886
5100	-1580.592	-1548.63	-31.96159	71257.18	10.84759	0.995242	0.99878	1.00121	1.00477	7.09662
5200	-1568.253	-1540.3	-27.95367	378137.9	11.64949	0.997934	0.999471	1.00053	1.00207	6.77069
5300	-1562.623	-1537.32	-25.30265	646725.4	13.54152	0.99842	0.999596	1.0004	1.00158	6.545646
5400	-1566.554	-1535.539	-31.01542	786991.8	11.0119	0.998568	0.999634	1.00037	1.00143	7.017866
5500	-1564.742	-1538.036	-26.70586	605139.6	14.87558	0.998366	0.999582	1.00042	1.00163	6.571913
5600	-1556.289	-1525.017	-31.27168	387872.2	12.75354	0.99796	0.999478	1.00052	1.00204	7.030889
5700	-1581.397	-1539.221	-42.17638	233385.9	12.83982	0.99737	0.999327	1.00067	1.00263	7.876223
5800	-1574.141	-1543.359	-30.7824	415913.2	10.98293	0.99803	0.999496	1.0005	1.00197	6.995301
5900	-1571.212	-1539.295	-31.9176	643205.4	11.72868	0.998416	0.999595	1.0004	1.00159	7.110692
6000	-1563.841	-1533.312	-30.52923	133711.8	14.07502	0.996526	0.99911	1.00089	1.00348	6.894652
6100	-1576.164	-1535.317	-40.84636	322473.5	10.21403	0.997763	0.999427	1.00057	1.00224	7.918261
6200	-1571.228	-1538.647	-32.5811	525614.3	10.22678	0.998247	0.999552	1.00045	1.00175	7.11031
6300	-1561.729	-1534.969	-26.76033	256848.1	10.93546	0.997493	0.999358	1.00064	1.00251	6.625066
6400	-1568.849	-1537.205	-31.64432	92573.4	11.67087	0.995825	0.99893	1.00106	1.00418	7.087501
6500	-1554.153	-1529.712	-24.44183	206180.8	15.24077	0.997202	0.999284	1.00071	1.0028	6.396361
6600	-1577.319	-1536.647	-40.67225	245883	10.16029	0.997438	0.999344	1.00065	1.00256	7.899931
6700	-1565.406	-1532.072	-33.3335	327145	12.25756	0.997779	0.999432	1.00057	1.00222	7.216619
6800	-1572.239	-1537.051	-35.18809	161287	11.83698	0.996837	0.99919	1.00081	1.00317	7.386101
6900	-1580.437	-1540.581	-39.85688	330344	11.8243	0.997789	0.999434	1.00056	1.00221	7.781378
7000	-1557.974	-1527.862	-30.11219	649841.8	11.02737	0.998424	0.999597	1.0004	1.00158	6.936654
7100	-1555.364	-1525.489	-29.87512	143499.1	11.50199	0.996646	0.999141	1.00086	1.00336	6.932968
7200	-1556.279	-1533.401	-22.87804	840036.8	13.22539	0.998613	0.999645	1.00035	1.00139	6.371739
7300	-1561.941	-1528.26	-33.68185	367458.5	11.57457	0.997904	0.999464	1.00053	1.0021	7.263322
7400	-1570.658	-1539.982	-30.67643	539102.6	11.47703	0.998269	0.999557	1.00044	1.00173	7.00221
7500	-1567.835	-1537.396	-30.43867	329988.7	12.05092	0.997788	0.999434	1.00056	1.00221	6.983656
7600	-1555.495	-1524.846	-30.64838	530774.4	12.40119	0.998256	0.999554	1.00045	1.00175	6.994046
7700	-1577.742	-1544.069	-33.67298	888315.8	12.17922	0.998652	0.999655	1.00034	1.00135	7.24745
7800	-1560.056	-1535.635	-24.42039	837876	12.45599	0.998612	0.999645	1.00035	1.00139	6.492486
7900	-1566.999	-1530.526	-36.47285	601137.7	12.82358	0.998361	0.999581	1.00042	1.00164	7.433293
8000	-1544.644	-1522.385	-22.25877	377743	14.31287	0.997933	0.999471	1.00053	1.00207	6.298438
8100	-1580.355	-1542.904	-37.45084	232508.8	9.535639	0.997365	0.999325	1.00067	1.00264	7.527109
8200	-1555.262	-1533.119	-22.14311	963147.1	15.05012	0.998705	0.999669	1.00033	1.0013	6.256089
8300	-1564.619	-1532.944	-31.67485	952551.9	10.01982	0.998698	0.999667	1.00033	1.0013	6.997424
8400	-1557.535	-1524.035	-33.49951	385967.8	9.354297	0.997955	0.999477	1.00052	1.00205	7.080029
