Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-2915.342	-2630.998	-284.3432	724250.6	0.5389119	0.998507	0.999618	1.00038	1.00149	141.4743
100	-1678.637	-1620.727	-57.90986	313460.4	7.359424	0.997731	0.999419	1.00058	1.00227	9.599993
200	-1574.976	-1540.865	-34.11165	886608.8	10.85097	0.99865	0.999655	1.00034	1.00135	7.294932
300	-1584.432	-1547.95	-36.48281	697612.7	11.19924	0.998479	0.999611	1.00039	1.00152	7.513355
400	-1563.844	-1539.108	-24.7363	370428.2	10.51109	0.997912	0.999466	1.00053	1.00209	6.387987
500	-1565.544	-1532.236	-33.3074	506578.8	12.68515	0.998215	0.999543	1.00046	1.00179	7.194326
600	-1568.849	-1533.65	-35.19915	419179.9	10.72987	0.998037	0.999498	1.0005	1.00196	7.391967
700	-1561.961	-1529.837	-32.12403	331198.3	13.99931	0.997792	0.999435	1.00056	1.00221	7.014193
800	-1557.911	-1530.065	-27.84608	291905.3	11.1954	0.997648	0.999398	1.0006	1.00235	6.741944
900	-1573.165	-1548.202	-24.9634	472086.7	13.22658	0.998151	0.999527	1.00047	1.00185	6.529391
1000	-1575.721	-1545.296	-30.42539	301021.6	10.52074	0.997684	0.999407	1.00059	1.00232	6.930109
1100	-1568.931	-1531.651	-37.28	89456.78	9.611121	0.995753	0.998911	1.00108	1.00425	7.518379
1200	-1564.186	-1531.66	-32.52551	622581.6	10.8658	0.99839	0.999588	1.00041	1.00161	7.149411
1300	-1557.838	-1527.16	-30.67821	234302.7	12.20244	0.997375	0.999328	1.00067	1.00263	7.001123
1400	-1571.332	-1540.849	-30.48275	970029.8	12.60885	0.99871	0.99967	1.00033	1.00129	6.974379
1500	-1582.733	-1544.997	-37.73667	543738.9	10.05705	0.998277	0.999559	1.00044	1.00172	7.604869
1600	-1557.726	-1526.828	-30.89813	362043.3	11.16159	0.997888	0.99946	1.00054	1.00211	7.013381
1700	-1579.417	-1541.735	-37.68207	128444.9	11.13291	0.996456	0.999092	1.0009	1.00355	7.62168
1800	-1586.497	-1547.639	-38.85752	634861.8	9.859032	0.998405	0.999592	1.00041	1.0016	7.703869
1900	-1572.605	-1540.465	-32.14033	502147.5	13.74326	0.998207	0.999541	1.00046	1.00179	7.035616
2000	-1554.08	-1524.494	-29.58678	89120.48	11.33421	0.995745	0.998909	1.00108	1.00426	6.902918
2100	-1570.676	-1532.236	-38.43956	755620.4	11.30728	0.998538	0.999626	1.00037	1.00146	7.68488
2200	-1563.053	-1531.539	-31.51338	878873.1	12.71667	0.998644	0.999653	1.00035	1.00136	7.05151
2300	-1554.382	-1526.395	-27.98686	101384.4	14.37175	0.996011	0.998978	1.00102	1.00399	6.694662
2400	-1575.255	-1537.996	-37.25895	504801.1	10.02173	0.998212	0.999542	1.00046	1.00179	7.554868
2500	-1585.807	-1541.998	-43.80885	863823.7	9.534948	0.998633	0.99965	1.00035	1.00137	8.193835
