Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-2713.786	-2590.053	-123.7332	876133.7	3.825838	0.998642	0.999653	1.00035	1.00136	21.32165
100	-1583.513	-1548.672	-34.84121	572717	10.58941	0.998321	0.99957	1.00043	1.00168	7.353098
200	-1576.103	-1541.02	-35.08328	686182.1	9.078984	0.998466	0.999608	1.00039	1.00153	7.19555
300	-1569.362	-1535.015	-34.34703	40239.47	12.34359	0.993671	0.998374	1.00161	1.00634	7.295199
400	-1583.126	-1546.171	-36.95537	691100.7	11.81552	0.998471	0.999609	1.00039	1.00153	7.536397
500	-1594.652	-1549.731	-44.92148	928658.5	9.688648	0.998681	0.999663	1.00034	1.00132	8.315806
600	-1578.639	-1540.063	-38.57585	246968.1	12.10195	0.997443	0.999346	1.00065	1.00256	7.65543
700	-1566.259	-1534.682	-31.57777	732152	11.65724	0.998515	0.99962	1.00038	1.00149	7.081793
800	-1570.324	-1540.676	-29.64806	384744.1	12.67994	0.997951	0.999476	1.00052	1.00205	6.906017
900	-1566.077	-1536.25	-29.82708	496278.8	13.30523	0.998196	0.999539	1.00046	1.0018	6.893034
1000	-1564.773	-1533.915	-30.8589	150595.6	11.83935	0.996726	0.999161	1.00083	1.00328	7.020358
1100	-1569.511	-1542.157	-27.35459	368030.8	11.92697	0.997906	0.999464	1.00053	1.0021	6.726049
1200	-1573.082	-1539.411	-33.67079	146709.5	12.15215	0.996683	0.99915	1.00085	1.00332	7.248296
1300	-1575.565	-1543.308	-32.25733	141225.4	10.79017	0.99662	0.999134	1.00086	1.00338	7.121048
1400	-1572.176	-1542.532	-29.64448	432190.5	10.92069	0.998067	0.999505	1.00049	1.00193	6.887877
1500	-1564.491	-1535.877	-28.61418	884919.6	11.10996	0.998649	0.999655	1.00034	1.00135	6.805854
1600	-1560.005	-1532.663	-27.34118	304286.9	11.39651	0.997697	0.999411	1.00059	1.00231	6.70793
1700	-1582.64	-1548.795	-33.84533	829627.2	9.772929	0.998605	0.999643	1.00036	1.0014	7.184349
1800	-1565.217	-1535.457	-29.75956	178974.3	12.59022	0.996997	0.999231	1.00077	1.00301	6.917571
1900	-1559.074	-1534.083	-24.99081	954939.8	13.45731	0.9987	0.999667	1.00033	1.0013	6.525284
2000	-1559.501	-1528.257	-31.24388	735320.9	12.31087	0.998518	0.999621	1.00038	1.00148	7.044728
2100	-1577.584	-1544.139	-33.44538	589787.9	12.31	0.998345	0.999577	1.00042	1.00166	7.223591
2200	-1575.269	-1546.253	-29.01614	773437.2	13.72732	0.998555	0.99963	1.00037	1.00145	6.809243
2300	-1586.436	-1545.08	-41.35551	948076.2	9.014983	0.998695	0.999666	1.00033	1.00131	7.877108
2400	-1555.077	-1526.967	-28.1099	267431.8	12.22549	0.997543	0.999371	1.00063	1.00246	6.790588
2500	-1558.075	-1535.943	-22.13177	638888.7	11.79547	0.99841	0.999593	1.00041	1.00159	6.28059
2600	-1573.83	-1542.004	-31.82535	161470	11.03637	0.996839	0.99919	1.00081	1.00317	7.092346
2700	-1563.419	-1539.317	-24.10164	730691.1	13.50529	0.998513	0.99962	1.00038	1.00149	6.457952
2800	-1554.376	-1530.895	-23.48037	49425.01	12.50842	0.994288	0.998534	1.00145	1.00572	6.417826
2900	-1566.117	-1542.911	-23.20663	678092.5	12.11104	0.998457	0.999605	1.00039	1.00154	6.385778
3000	-1564.254	-1534.193	-30.06063	598565.8	10.42236	0.998358	0.99958	1.00042	1.00164	6.885793
3100	-1579.21	-1547.725	-31.48516	492347.3	14.47334	0.998189	0.999537	1.00046	1.00181	6.92934
3200	-1574.943	-1536.412	-38.53135	537042	10.2401	0.998266	0.999556	1.00044	1.00174	7.692679
3300	-1571.476	-1544.138	-27.33742	485555.1	9.96947	0.998176	0.999533	1.00047	1.00182	6.555751
3400	-1559.282	-1528.852	-30.43014	400011.3	10.39107	0.997991	0.999486	1.00051	1.00201	6.918096
3500	-1571.169	-1536.398	-34.77115	488069.3	10.61124	0.998181	0.999535	1.00046	1.00182	7.347452
3600	-1564.835	-1534.279	-30.55598	294498.9	14.0769	0.997659	0.999401	1.0006	1.00234	6.896411
3700	-1556.988	-1535.471	-21.51658	900689.5	14.03936	0.998661	0.999658	1.00034	1.00134	6.255358
3800	-1576.057	-1548.561	-27.49592	421974.8	13.70118	0.998044	0.9995	1.0005	1.00196	6.699836
3900	-1571.902	-1536.488	-35.41459	269616.8	12.55979	0.997553	0.999374	1.00062	1.00245	7.368688
4000	-1552.465	-1526.174	-26.29122	553808	11.604	0.998292	0.999563	1.00044	1.00171	6.626091
4100	-1576.64	-1536.421	-40.2188	152708.1	9.988987	0.996749	0.999167	1.00083	1.00325	7.848752
4200	-1555.076	-1529.848	-25.22862	610373.2	12.16676	0.998373	0.999584	1.00042	1.00163	6.553875
4300	-1569.996	-1544.185	-25.81144	245178.2	11.91997	0.997434	0.999343	1.00065	1.00257	6.596471
4400	-1561.18	-1527.21	-33.96939	531363.9	9.845939	0.998257	0.999554	1.00044	1.00174	7.206446
4500	-1562.326	-1532.087	-30.2391	990131.6	12.25642	0.998723	0.999673	1.00033	1.00128	6.964192
4600	-1572.11	-1540.284	-31.82674	403944.8	12.59967	0.998001	0.999488	1.00051	1.002	7.081361
4700	-1567.34	-1531.785	-35.55499	773071	12.76179	0.998555	0.99963	1.00037	1.00145	7.366158
4800	-1575.952	-1540.756	-35.19628	633104.6	12.77507	0.998403	0.999592	1.00041	1.0016	7.337134
4900	-1569.837	-1532.67	-37.16666	20972.87	11.31072	0.991237	0.997745	1.00223	1.00879	7.572228
5000	-1564.174	-1535.779	-28.39532	87829.74	10.88958	0.995714	0.998901	1.00109	1.00429	6.771147
5100	-1572.394	-1536.248	-36.14623	974298.7	11.20294	0.998713	0.999671	1.00033	1.00129	7.48327
5200	-1585.564	-1546.344	-39.21949	569428.4	9.95686	0.998316	0.999569	1.00043	1.00168	7.746857
5300	-1567.976	-1535.201	-32.77467	939756.1	10.44253	0.998689	0.999665	1.00033	1.00131	7.147746
5400	-1571.485	-1536.18	-35.30497	571310.7	13.90158	0.998319	0.99957	1.00043	1.00168	7.250893
5500	-1561.648	-1535.228	-26.4202	595016.7	13.50726	0.998353	0.999579	1.00042	1.00165	6.629552
5600	-1564.481	-1539.775	-24.70662	701293.7	16.22502	0.998483	0.999612	1.00039	1.00152	6.340377
5700	-1574.052	-1540.839	-33.21373	252106.7	13.69042	0.99747	0.999352	1.00065	1.00253	7.118032
5800	-1576.038	-1543.806	-32.23158	845531.3	11.58719	0.998618	0.999647	1.00035	1.00138	7.138026
5900	-1581.693	-1544.701	-36.99144	528442.2	10.3499	0.998252	0.999553	1.00045	1.00175	7.547754
6000	-1574.957	-1537.742	-37.2145	903865.8	8.297332	0.998663	0.999658	1.00034	1.00134	7.226833
6100	-1586.8	-1546.199	-40.60051	691427.9	11.70928	0.998472	0.999609	1.00039	1.00153	7.852327
6200	-1575.404	-1544.844	-30.55932	328168.2	11.13645	0.997782	0.999432	1.00057	1.00222	6.98203
6300	-1579.07	-1540.605	-38.46498	591336	12.49018	0.998348	0.999577	1.00042	1.00165	7.617271
6400	-1582.05	-1549.285	-32.76517	988968.3	13.02654	0.998722	0.999673	1.00033	1.00128	7.132202
6500	-1561.431	-1539.095	-22.33599	381300.3	13.71025	0.997942	0.999473	1.00053	1.00206	6.323018
6600	-1557.56	-1529.922	-27.63836	87028.82	12.11858	0.995695	0.998896	1.0011	1.00431	6.751743
6700	-1573.555	-1543.332	-30.22348	910994.4	12.63906	0.998669	0.99966	1.00034	1.00133	6.952811
