Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-2788.393	-2655.689	-132.7039	884128.3	3.104379	0.998648	0.999654	1.00034	1.00135	23.4914
100	-1584.674	-1538.69	-45.98458	621006.8	11.14989	0.998387	0.999588	1.00041	1.00161	8.366013
200	-1562.174	-1532.49	-29.68347	165703.1	10.91735	0.996879	0.999201	1.0008	1.00312	6.891236
300	-1557.004	-1525.21	-31.79395	376151.7	9.910608	0.997928	0.99947	1.00053	1.00207	6.99476
400	-1554.005	-1523.036	-30.96962	103293.7	11.06387	0.996048	0.998987	1.00101	1.00396	7.015996
500	-1576.003	-1547.411	-28.5912	579827.1	11.51967	0.998331	0.999573	1.00043	1.00167	6.8219
600	-1574.189	-1538.232	-35.95671	260131	12.02223	0.997509	0.999362	1.00064	1.00249	7.442933
700	-1561.918	-1529.877	-32.04085	359496.2	11.05587	0.997881	0.999458	1.00054	1.00212	7.112548
800	-1572.072	-1541.552	-30.51959	490460.3	11.20954	0.998186	0.999536	1.00046	1.00182	6.981261
900	-1564.185	-1530.276	-33.90866	575614.2	12.32609	0.998325	0.999572	1.00043	1.00168	7.260493
1000	-1582.06	-1545.208	-36.85125	997125	11.37669	0.998727	0.999675	1.00032	1.00127	7.542885
1100	-1572.724	-1539.796	-32.92823	414215.2	9.635588	0.998026	0.999495	1.0005	1.00198	7.069574
1200	-1571.392	-1539.91	-31.48292	508870.1	12.16129	0.998219	0.999544	1.00045	1.00178	7.068049
1300	-1568.866	-1545.04	-23.82578	78351.3	12.15429	0.995463	0.998836	1.00116	1.00454	6.438214
1400	-1578.48	-1536.147	-42.33375	136090.2	11.98124	0.996556	0.999118	1.00088	1.00345	7.977103
1500	-1555.405	-1529.025	-26.38069	757553.9	11.82249	0.99854	0.999627	1.00037	1.00146	6.641621
1600	-1568.963	-1532.096	-36.86682	219410.7	11.21747	0.997288	0.999306	1.00069	1.00271	7.547378
